Data,Peso_KG,Valor_USD
2015-01-01,104234201,181861029
2015-02-01,116380124,202855218
2015-03-01,126419065,255807589
2015-04-01,-58421335,190813602
2015-05-01,80479772,199544493
2015-06-01,63800065,209964114
2015-07-01,-5958220,279092838
2015-08-01,-96181091,184003636
2015-09-01,-108581379,184006779
2015-10-01,62921511,249687349
2015-11-01,32237619,311861058
2015-12-01,98945484,292319933
2016-01-01,110492322,175778551
2016-02-01,-160839652,130700727
2016-03-01,-232286970,111850767
2016-04-01,-160978819,118022694
2016-05-01,138087387,233693840
2016-06-01,294604043,358708743
2016-07-01,381446269,348839385
2016-08-01,242545640,329645844
2016-09-01,318925666,389240771
2016-10-01,236170676,345109200
2016-11-01,199720995,360752947
2016-12-01,215239091,346417384
2017-01-01,113856052,256037167
2017-02-01,180421791,297398588
2017-03-01,74496492,265446845
2017-04-01,132665162,254753362
2017-05-01,221653783,283501839
2017-06-01,189200493,289218448
2017-07-01,90143747,270476779
2017-08-01,179396571,310679656
2017-09-01,171469436,305800263
2017-10-01,160308064,312353330
2017-11-01,197391874,319356748
2017-12-01,183228652,287658635
2018-01-01,213522255,270223338
2018-02-01,183761710,257988136
2018-03-01,219315795,298465013
2018-04-01,28086409,173972846
2018-05-01,-71999742,61077727
2018-06-01,247981403,214220264
2018-07-01,-31879648,84206890
2018-08-01,200238556,185411644
2018-09-01,-123293121,46087804
2018-10-01,251676910,215774253
2018-11-01,-175513951,51389462
2018-12-01,-36271720,76790966
2019-01-01,142987446,149676457
2019-02-01,33621306,133834379
2019-03-01,70832233,171199105
2019-04-01,-348169874,4061595
2019-05-01,-62378260,126810776
2019-06-01,-89445466,185023950
2019-07-01,-109893759,177124345
2019-08-01,-73262412,163105798
2019-09-01,-46218971,148312510
2019-10-01,-325705411,62849388
2019-11-01,-218642873,85280177
2019-12-01,-44910880,193466684
2020-01-01,62342842,189572565
2020-02-01,67614289,202919142
2020-03-01,79124726,234125001
2020-04-01,-390675080,12625316
2020-05-01,-271168137,87310134
2020-06-01,127430134,207374721
2020-07-01,58210788,193845854
2020-08-01,196904932,223567219
2020-09-01,158174954,247655452
2020-10-01,132211813,199304061
2020-11-01,204489032,260805010
2020-12-01,209875269,272775864
2021-01-01,146519283,190844959
2021-02-01,195140238,275522601
2021-03-01,14358582,279673589
2021-04-01,154731871,304302381
2021-05-01,357326372,422131687
2021-06-01,301893224,411037134
2021-07-01,417574188,438057261
2021-08-01,117660527,281422980
2021-09-01,214536485,424558580
2021-10-01,95527237,380761092
2021-11-01,277811209,478539040
2021-12-01,142119105,449818569
2022-01-01,184891164,358500222
2022-02-01,234575933,433248910
2022-03-01,307451011,568225966
2022-04-01,188317062,515321973
2022-05-01,130705748,515762410
2022-06-01,278538637,603050031
2022-07-01,150716962,461156885
2022-08-01,314061761,644248226
2022-09-01,309035061,548185952
2022-10-01,225576088,572206551
2022-11-01,311052526,730669066
2022-12-01,303547855,698830850
2023-01-01,287180795,716442747
2023-02-01,214892037,412502852
2023-03-01,245066827,471274578
2023-04-01,-147009870,177755745
2023-05-01,-256127049,170872629
2023-06-01,-21646874,266724732
2023-07-01,89407441,333147116
2023-08-01,-473491159,81657896
2023-09-01,-301223053,58589525
2023-10-01,-687178389,-157485174
2023-11-01,-895632075,-255600410
2023-12-01,-407755176,43379475
2024-01-01,-81447120,178887381
2024-02-01,94498515,252196497
2024-03-01,59791679,234875936
2024-04-01,-164679753,188584820
2024-05-01,58324892,208758512
2024-06-01,282255757,334373762
2024-07-01,244885802,333549670
2024-08-01,265744172,336361506
2024-09-01,271942208,322422328
2024-10-01,328518734,377750528
2024-11-01,305408047,364632406
2024-12-01,333380950,390423640
2025-01-01,125509900,319430851
2025-02-01,96007394,277562031
2025-03-01,124928469,295800066
2025-04-01,50070226,277557503
2025-05-01,-16370877,258125387
2025-06-01,65638751,273439733
2025-07-01,271160362,389686171
2025-08-01,262251918,406669278
2025-09-01,313136918,514778341
2025-10-01,376933100,545236154
2025-11-01,305314173,479620409
2025-12-01,337642713,564046347
