Data,Peso_KG,Valor_USD
2015-01-01,1893541169,942268811
2015-02-01,1534283501,787158212
2015-03-01,2103836966,1103047625
2015-04-01,4898645070,2092183818
2015-05-01,3986192070,1965758100
2015-06-01,4251931027,2130899036
2015-07-01,4612111070,2169346465
2015-08-01,3857763968,1877370453
2015-09-01,3858145630,2170881616
2015-10-01,3091017269,1761159158
2015-11-01,2476402488,1214326678
2015-12-01,1893320103,824541352
2016-01-01,1348853936,670543625
2016-02-01,1258909161,785687249
2016-03-01,2728367394,1132942915
2016-04-01,3683887593,1543842751
2016-05-01,5165093421,2267402347
2016-06-01,4515015614,2187056774
2016-07-01,4146458785,2142033715
2016-08-01,3762036121,2087406182
2016-09-01,1907850877,1155256368
2016-10-01,1610503901,1196032738
2016-11-01,1285166199,971788708
2016-12-01,1383135112,938970759
2017-01-01,2158750822,973256973
2017-02-01,1159890637,597123922
2017-03-01,2439789622,1101935382
2017-04-01,3962886062,1596151485
2017-05-01,4765845649,2039912622
2017-06-01,3802226556,1840833217
2017-07-01,3524388077,1751179137
2017-08-01,3899204308,1905927198
2017-09-01,3486139184,1717693496
2017-10-01,2813743824,1668068288
2017-11-01,2135779482,1412609893
2017-12-01,2855996850,1539709133
2018-01-01,2156128364,1170886762
2018-02-01,2220077754,1207560120
2018-03-01,3125510992,1570526969
2018-04-01,3892614824,1820509329
2018-05-01,5044101958,2406521769
2018-06-01,3146150835,1593014345
2018-07-01,3537675365,1718557852
2018-08-01,3780748099,1905929669
2018-09-01,3295933991,1680165636
2018-10-01,3355428766,1846866758
2018-11-01,3463215662,1753152107
2018-12-01,3921934871,1973064883
2019-01-01,2650535599,1434800506
2019-02-01,1344126764,868947614
2019-03-01,2086975884,1060690107
2019-04-01,3431475090,1506696030
2019-05-01,4610997315,1970161898
2019-06-01,3393674685,1516532549
2019-07-01,4590070897,2140749066
2019-08-01,3685812635,1791345169
2019-09-01,3987173853,2065620852
2019-10-01,4895136143,2371213062
2019-11-01,3820494165,1706228375
2019-12-01,3415389990,1568054380
2020-01-01,1363145595,729506381
2020-02-01,1319936479,742772470
2020-03-01,2935749859,1186572076
2020-04-01,4548988073,1843597055
2020-05-01,5224735801,2053562274
2020-06-01,4382298997,1862720933
2020-07-01,4972813060,2171196833
2020-08-01,3655886692,1650227265
2020-09-01,1990495391,1083285909
2020-10-01,1524126251,897859127
2020-11-01,800203417,742392379
2020-12-01,1951834410,1130269576
2021-01-01,1484593381,812061812
2021-02-01,1553429004,906786180
2021-03-01,2190789865,1148774519
2021-04-01,5084357752,2447229318
2021-05-01,5236355016,2808946374
2021-06-01,3947020370,2294773262
2021-07-01,4230276469,2357079669
2021-08-01,5488801524,3000591133
2021-09-01,4222027596,2382810019
2021-10-01,4226056549,2445397312
2021-11-01,1927991316,1313956122
2021-12-01,3554450078,1703753998
2022-01-01,3511081657,1904070047
2022-02-01,3234899388,1448975253
2022-03-01,2946381218,1552042158
2022-04-01,2409176515,1577327373
2022-05-01,1981861915,1236859821
2022-06-01,2425320538,1777493476
2022-07-01,2809571483,1996560741
2022-08-01,3553522648,2390258481
2022-09-01,3185167385,2322491754
2022-10-01,3340073792,2170694683
2022-11-01,2422425045,1805942190
2022-12-01,3430590347,2083671670
2023-01-01,2811561255,1744340948
2023-02-01,2322112935,1372804229
2023-03-01,3248683954,1840446608
2023-04-01,2909501810,1741066984
2023-05-01,3562549447,2275367785
2023-06-01,3022763473,2070147719
2023-07-01,2968127455,2130829796
2023-08-01,5712799480,3407023728
2023-09-01,4005138265,2574106098
2023-10-01,5419795893,3385281854
2023-11-01,3979602169,2535253990
2023-12-01,3152305815,2235644572
2024-01-01,3589077973,1869132736
2024-02-01,2075529235,1311617254
2024-03-01,2561420071,1364024050
2024-04-01,3471215906,1785894023
2024-05-01,3037919190,1984608688
2024-06-01,3075921687,2028904407
2024-07-01,4329853519,2512128661
2024-08-01,3450483204,2258574452
2024-09-01,4338032272,2692456923
2024-10-01,4823367053,2606559880
2024-11-01,4141740914,2832021498
2024-12-01,3930125645,2438222257
2025-01-01,2946895331,1976649299
2025-02-01,3413700711,1586716489
2025-03-01,3384894602,1523322607
2025-04-01,1933696337,1260649170
2025-05-01,2575671193,1599833687
2025-06-01,3147540418,1920268458
2025-07-01,2693987805,1893982347
2025-08-01,4456390383,2351194926
2025-09-01,4278340544,2716004536
2025-10-01,4384497617,2544179504
2025-11-01,3273450335,2007146063
2025-12-01,3802827048,2157123126
